Population	SuperPopulation	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
MGRB	MGRB	-1.56243e-01	-1.93588e-02	2.74583e-02	2.00384e-02	-1.92240e-02	7.06606e-03	-1.19646e-03	-1.47562e-02	1.50936e-03	3.09336e-03	1.49131e-04	-1.74133e-04	-2.45979e-04	4.16355e-03	1.08948e-03	1.71159e-02	-1.49614e-02	-1.58079e-02	3.18952e-02	6.20881e-04
MGRB	MGRB	-1.31446e-01	-2.58746e-02	2.77108e-02	2.32615e-02	-5.63625e-03	-1.51468e-02	-3.32740e-02	1.23112e-03	-8.76693e-05	2.16454e-03	-1.67821e-02	2.50073e-02	-1.63623e-02	-6.45359e-03	2.15152e-04	4.13546e-03	-3.81662e-03	2.59231e-03	8.98454e-03	4.18372e-03
MGRB	MGRB	-1.56282e-01	-1.05801e-02	2.49841e-02	1.37672e-02	-1.25271e-02	-3.20322e-03	-2.07763e-02	3.49684e-03	-4.85197e-03	-6.22271e-03	6.53720e-03	5.43237e-03	4.56799e-03	-2.85292e-02	1.27048e-02	2.98909e-03	-5.99171e-03	-7.84341e-03	1.16896e-02	4.63475e-02
MGRB	MGRB	-1.53645e-01	-1.06004e-02	3.02825e-02	1.93388e-02	3.56483e-06	3.87855e-03	-8.60541e-03	-1.74768e-03	1.01126e-02	1.48454e-03	1.77945e-03	3.29191e-04	2.39165e-03	2.02764e-02	-2.25532e-03	1.98687e-02	-1.86058e-03	-2.17405e-03	4.15109e-03	4.83254e-02
MGRB	MGRB	-1.54380e-01	-2.22750e-02	2.91162e-02	2.42050e-02	-6.39735e-03	5.31629e-03	-1.08988e-02	-4.07451e-03	-4.35933e-03	-2.01299e-03	1.90200e-03	-1.18272e-03	-4.45433e-03	-2.45977e-04	1.16266e-02	-3.48390e-03	1.35018e-02	2.58009e-02	3.36150e-03	-3.53110e-03
MGRB	MGRB	-1.58304e-01	-1.88252e-02	3.69963e-02	1.69180e-02	-5.91541e-03	-1.47686e-04	-1.06601e-02	9.99762e-03	-1.93486e-02	2.10945e-03	3.25000e-02	1.04533e-02	-6.04534e-03	9.03766e-03	-3.64169e-04	2.78629e-03	-2.25488e-02	1.18679e-02	8.81644e-04	-1.26713e-02
MGRB	MGRB	-1.53208e-01	-2.22691e-02	3.52990e-02	1.29629e-02	-1.21051e-02	7.77626e-03	-2.70090e-02	1.33899e-03	1.24694e-02	-1.94266e-03	-4.32185e-03	1.71826e-03	-1.88272e-02	1.70261e-02	-6.11796e-03	-2.03750e-02	1.78515e-02	-3.55402e-02	1.73725e-02	2.46392e-04
MGRB	MGRB	-1.58852e-01	-1.85555e-02	2.65766e-02	1.31767e-02	-2.08045e-02	-7.20851e-04	-3.13857e-02	1.26120e-02	7.32250e-04	1.69903e-02	-1.04468e-03	-8.36005e-05	-9.44047e-03	1.62618e-02	1.45078e-02	5.46780e-03	1.89343e-02	-2.35778e-03	-4.44318e-03	-2.01393e-02
MGRB	MGRB	-1.62191e-01	-1.76583e-02	3.01623e-02	1.87371e-02	-2.58658e-02	-1.33957e-02	-2.42787e-02	-8.42643e-03	-1.57466e-02	4.05482e-03	2.56814e-02	-2.68210e-02	9.88993e-03	3.21967e-03	-3.99279e-02	-4.22307e-03	-8.01734e-03	1.42316e-03	-1.58451e-02	-3.48607e-02
MGRB	MGRB	-1.55960e-01	-1.61823e-02	3.29107e-02	1.43344e-02	-1.02627e-02	-1.33258e-03	-2.52307e-02	1.52352e-03	-2.89320e-03	-1.01278e-02	-5.89503e-03	8.70473e-04	-4.91265e-03	-1.26183e-02	-8.80421e-03	6.78606e-03	3.02379e-02	-1.74526e-02	-5.73339e-04	1.72903e-02
MGRB	MGRB	-1.53296e-01	-1.31265e-02	2.94337e-02	2.04620e-02	-1.61675e-02	-5.83073e-03	-1.71972e-02	1.48399e-03	1.52365e-03	2.33436e-03	2.04014e-02	-1.16532e-02	3.36536e-02	7.00740e-04	2.31838e-03	3.05109e-03	1.91077e-02	7.39693e-03	5.26720e-03	-4.87699e-03
MGRB	MGRB	-1.44067e-01	-1.32250e-02	2.61865e-02	1.18342e-02	-1.59229e-02	-3.46090e-03	-1.26337e-02	-6.87203e-03	2.14057e-02	2.17933e-03	1.45866e-02	4.45116e-04	2.12721e-02	4.43507e-03	1.74846e-02	-7.48919e-03	7.34340e-03	2.86739e-04	-3.30884e-02	8.13518e-04
MGRB	MGRB	-1.56276e-01	-1.84764e-02	3.63856e-02	1.91019e-02	-1.73461e-02	-5.52177e-03	-1.45462e-02	1.40643e-02	-1.20852e-02	7.62376e-03	6.78355e-03	-1.51508e-02	9.48343e-03	-2.67861e-02	1.12138e-04	-5.75459e-03	1.86199e-02	8.13717e-03	-1.00568e-02	2.38268e-03
MGRB	MGRB	-1.56391e-01	-1.93523e-02	2.21532e-02	2.18136e-02	-1.64206e-02	-3.81084e-03	-1.49633e-02	-6.75382e-03	-3.83336e-03	-1.39382e-02	-7.44551e-03	3.70433e-04	-1.41996e-02	4.20880e-03	1.69599e-02	1.81297e-02	9.08210e-03	-1.93583e-02	1.84181e-02	-5.49224e-03
MGRB	MGRB	-1.40724e-01	-5.70776e-04	2.39611e-03	1.49432e-02	-2.44255e-02	-1.15381e-03	-3.11247e-03	3.46811e-03	5.86701e-03	6.93385e-03	3.04618e-03	-6.49835e-03	3.33396e-03	7.44905e-03	-5.35807e-03	-1.68458e-02	-1.69777e-02	1.78870e-04	2.25727e-03	-1.41129e-02
MGRB	MGRB	-1.60701e-01	-1.99100e-02	3.73994e-02	1.51807e-02	-1.54147e-02	9.07885e-05	-3.17245e-02	-2.18724e-03	-2.05024e-03	-7.70156e-03	-2.55120e-03	1.21650e-02	-7.57730e-03	2.63905e-02	-1.80517e-02	-1.73588e-02	2.10305e-02	3.28855e-04	4.35467e-03	2.80553e-02
MGRB	MGRB	-1.53359e-01	-1.72532e-02	2.78721e-02	1.42499e-02	-4.67481e-03	-1.42455e-03	-2.47975e-02	-2.55974e-03	-5.69318e-03	-1.81592e-02	-5.12655e-04	-2.49456e-03	-2.97395e-03	3.44926e-02	3.36168e-03	-3.02727e-02	-4.11605e-03	1.97280e-04	3.03969e-02	-3.82243e-02
MGRB	MGRB	-1.50808e-01	-2.86849e-02	3.38679e-02	1.63811e-02	-1.28238e-02	-1.66362e-02	-2.64602e-02	-1.24752e-02	-4.09426e-03	1.14433e-02	1.36475e-02	-4.86609e-03	-2.05483e-02	8.13304e-03	2.58020e-02	-1.27052e-02	-8.59253e-03	-1.24535e-02	-3.10074e-02	1.35133e-03
MGRB	MGRB	-1.64164e-01	-1.99476e-02	2.76959e-02	1.53105e-02	-2.54652e-02	-7.65996e-03	-2.25027e-02	5.70737e-03	-8.78828e-03	-1.28314e-03	-3.04808e-03	-9.78549e-03	1.51163e-03	1.04388e-02	1.15153e-03	7.64125e-03	-3.64988e-03	-1.20068e-02	4.26638e-03	3.00031e-02
MGRB	MGRB	-1.51801e-01	-1.52513e-02	3.49400e-02	1.20269e-02	-2.86316e-02	-7.85318e-04	-2.94661e-02	4.67215e-03	1.00505e-03	4.89175e-03	-4.13215e-03	-1.85806e-02	4.18865e-03	7.51054e-03	1.64016e-02	-2.01603e-02	-1.28725e-02	9.43750e-03	5.65445e-03	2.16762e-03
MGRB	MGRB	-1.53857e-01	-1.63431e-02	3.43435e-02	2.29970e-02	-3.25443e-02	3.69479e-03	-2.25569e-02	5.38387e-03	-8.89162e-04	1.43597e-03	-5.42153e-03	-6.75550e-03	2.16754e-02	7.14109e-03	3.52966e-03	4.13512e-03	-1.20513e-02	-2.45627e-03	-1.51295e-03	2.34477e-02
MGRB	MGRB	-1.58561e-01	-1.41875e-02	2.57080e-02	1.38513e-02	-1.52873e-02	3.44205e-03	-2.85853e-02	-8.97698e-03	-3.87393e-03	-1.13971e-02	-4.24796e-03	1.32708e-02	-1.62655e-02	-7.35385e-03	2.21228e-02	-1.64438e-02	5.09781e-03	1.16692e-02	-6.52252e-03	4.75265e-03
MGRB	MGRB	-1.51049e-01	-1.19557e-02	3.28841e-02	2.53058e-02	-8.35689e-03	-6.97931e-03	-2.17510e-02	3.26733e-04	1.42699e-03	1.04877e-02	2.46435e-03	1.09970e-02	-6.92523e-03	-8.24458e-03	-6.84644e-03	-8.98695e-03	-1.93401e-02	-4.09171e-03	5.28659e-03	6.57087e-03
MGRB	MGRB	-1.48176e-01	-1.71123e-02	2.49779e-02	1.58486e-02	4.13466e-02	4.65272e-03	3.92274e-02	-5.96097e-03	-2.76194e-03	-2.67217e-03	4.17414e-02	2.14960e-02	1.09826e-02	8.03483e-04	1.23663e-02	1.84863e-03	-4.42543e-03	-1.39063e-02	4.89906e-03	8.88314e-03
MGRB	MGRB	-1.53000e-01	-1.94314e-02	3.24339e-02	1.43086e-02	-1.34198e-02	2.88485e-03	-1.80001e-02	5.34879e-04	-1.49486e-02	5.01975e-03	-7.16604e-03	9.92150e-03	-1.57524e-02	9.13330e-05	1.11205e-02	-6.91761e-03	2.21244e-02	-7.67004e-03	4.54889e-03	1.32779e-02
MGRB	MGRB	-1.57089e-01	-1.99088e-02	3.04191e-02	1.59894e-02	1.01166e-03	-5.63321e-03	-1.83488e-02	5.10780e-03	2.43326e-03	1.02670e-03	1.60373e-02	-1.39549e-02	1.32200e-02	6.40204e-03	-3.31687e-02	1.01825e-03	-3.56720e-02	8.57311e-03	-7.54255e-03	2.23646e-03
MGRB	MGRB	-1.51106e-01	-1.97484e-02	2.66533e-02	2.14082e-02	-1.89843e-02	-9.38391e-03	-2.57816e-02	-6.22750e-03	-4.52304e-03	1.14744e-02	-5.68408e-03	7.04809e-03	-1.24771e-02	1.50253e-02	7.31149e-03	-2.56098e-03	-3.26719e-02	2.21226e-02	1.52357e-02	1.71774e-02
MGRB	MGRB	-1.51949e-01	-1.96165e-02	3.21569e-02	1.50119e-02	-7.04536e-03	-8.08273e-03	-2.37221e-02	2.10035e-02	2.81702e-04	7.17524e-03	2.98008e-03	3.39370e-03	1.10861e-02	-1.55610e-02	5.59899e-03	-6.86316e-04	-9.32906e-03	-1.10212e-02	6.65975e-03	-6.43572e-05
MGRB	MGRB	-1.58751e-01	-1.60299e-02	2.57882e-02	1.55911e-02	-3.19371e-03	-5.50709e-03	-2.36376e-02	1.53985e-02	-8.89601e-03	1.46330e-02	2.21891e-03	2.04436e-02	1.90535e-02	-2.44734e-03	1.40711e-02	-1.50463e-03	8.62748e-03	2.91690e-02	3.21537e-02	2.43003e-02
MGRB	MGRB	-1.54702e-01	-1.96583e-02	3.21371e-02	2.42376e-02	-2.15412e-02	-1.26092e-02	-2.83662e-02	-7.61688e-03	-7.08011e-03	-1.47857e-02	2.17988e-02	-7.40367e-03	2.77680e-03	-9.19251e-03	-5.09968e-03	-8.74289e-03	-4.40891e-03	-1.41746e-02	-1.54259e-02	9.24581e-03
MGRB	MGRB	-1.52550e-01	-2.25209e-02	3.51241e-02	2.16684e-02	-5.24249e-03	-2.67388e-03	-1.21315e-02	6.30286e-03	9.28474e-03	2.20987e-02	-3.78843e-03	-1.20809e-02	-1.05700e-02	1.99253e-03	1.46036e-02	-3.27914e-02	8.29815e-03	5.30216e-04	-2.98556e-02	-4.80136e-03
MGRB	MGRB	-1.58236e-01	-1.97801e-02	3.58148e-02	2.14286e-02	-1.77596e-02	-4.78501e-05	-2.93391e-02	2.17322e-03	1.18320e-03	-8.47395e-04	1.61278e-02	-1.43990e-03	8.52275e-03	-1.66458e-02	2.83988e-02	-2.72127e-04	-1.90712e-02	-1.01622e-02	-9.34607e-03	1.31016e-02
MGRB	MGRB	-1.57354e-01	-1.70637e-02	3.00818e-02	1.56407e-02	-2.62846e-02	4.27664e-03	-1.89199e-03	-2.88044e-03	1.16104e-02	1.86084e-03	1.23697e-02	-3.95546e-04	-8.11257e-04	-9.08233e-04	2.90997e-03	6.22429e-03	-1.64558e-03	1.38472e-03	-2.32564e-02	3.63740e-02
MGRB	MGRB	-1.55744e-01	-1.66563e-02	3.72606e-02	1.07516e-02	-6.97072e-03	-8.16759e-04	-2.79674e-02	1.61170e-02	2.38949e-03	1.19254e-02	-4.51011e-03	-1.02187e-03	-1.95556e-03	1.44089e-02	5.00070e-03	1.50567e-02	3.32730e-03	1.13077e-02	-3.15765e-03	1.76845e-02
MGRB	MGRB	-1.58294e-01	-2.03917e-02	2.20333e-02	1.50660e-02	-1.56390e-02	-5.94096e-03	-2.44553e-02	7.13680e-04	5.79042e-03	2.16849e-03	-7.06619e-03	-2.47333e-03	-6.34119e-03	-1.64218e-02	2.08983e-02	-1.24701e-02	2.20302e-02	-7.38907e-03	1.13071e-02	-1.13298e-02
MGRB	MGRB	-1.57791e-01	-1.48702e-02	2.75158e-02	2.75195e-03	-1.53627e-02	3.85785e-03	-1.37668e-02	-1.00337e-03	1.20130e-02	4.57607e-03	-1.86927e-04	-1.05596e-02	-1.70893e-02	-1.35481e-03	8.61595e-03	1.44364e-02	1.05680e-03	2.90399e-03	1.06912e-02	-8.45321e-03
MGRB	MGRB	-1.20366e-01	-2.14940e-02	-6.11800e-03	1.20711e-02	9.39024e-02	9.66924e-03	4.46199e-02	-8.15520e-04	1.26955e-03	2.31447e-03	6.20735e-02	3.42215e-02	-2.94703e-03	2.22016e-02	3.81872e-02	9.11068e-03	-2.22005e-02	1.99308e-02	1.14869e-02	-7.10890e-03
MGRB	MGRB	-1.53450e-01	-1.49084e-02	3.27744e-02	1.64562e-02	-1.63146e-02	7.16546e-04	-2.26134e-02	4.30963e-03	-1.70069e-04	3.37092e-03	-1.58206e-03	-2.49938e-02	1.12265e-04	-9.32329e-03	-1.16544e-02	1.51979e-02	1.91380e-02	-2.22721e-02	1.87984e-02	1.16695e-02
MGRB	MGRB	-1.53291e-01	-2.40934e-02	3.00975e-02	1.73984e-02	-2.27415e-02	-5.06878e-03	-2.18876e-02	-1.28204e-02	-2.43845e-03	1.37206e-02	4.68602e-03	-1.06570e-02	1.13809e-02	1.69852e-03	2.28374e-02	-1.78693e-02	-8.87332e-03	-2.16083e-02	-3.61960e-02	1.10729e-02
MGRB	MGRB	-1.51064e-01	-2.40930e-02	2.88897e-02	2.36508e-02	-2.14395e-02	-3.02584e-03	-2.83603e-02	-1.75693e-02	1.47055e-03	-8.94702e-03	-3.61290e-03	9.51869e-03	-9.43149e-03	-6.82498e-03	-1.20887e-02	4.33510e-03	-3.10719e-03	-1.31033e-02	-1.00309e-02	6.62212e-03
MGRB	MGRB	-1.53393e-01	-1.68921e-02	4.13170e-02	1.67058e-02	-1.02080e-02	3.15206e-03	-1.52464e-02	-5.66885e-03	2.35203e-02	-5.25264e-03	1.46551e-03	1.47498e-03	-8.46305e-04	-9.81283e-03	1.01020e-02	-9.08631e-03	-1.59448e-02	-1.05080e-02	-1.91899e-02	-2.38367e-02
